K,N,stage,simd_bits,vector_width,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
3,256,naive,32,1,0.311,3.79,1.0,13556221,5151141,2.631692861833912,2001455,17135,0.8561271674856543,1.2639953273113502,2544775,36188,1.4220510654183571,2.669475512386527
3,256,simd128,128,4,0.069,17.09,4.507246376811594,8909336,4605496,1.9345008659219334,1355384,17055,1.2583149867491425,1.9142840723483772,1653968,25865,1.5638150193957805,2.903134419893918
3,256,simd256,256,8,0.036,33.09,8.63888888888889,8235036,4481117,1.837719479317322,1249728,17057,1.3648569928816512,2.0712720624415,1505837,25761,1.7107429290155574,3.1282194759075734
3,512,naive,32,1,1.122,4.21,1.0,44731891,13289726,3.3659001698003403,6308707,18610,0.29498913168736474,0.416034278541902,7816181,42219,0.5401486992176869,0.9438232781171715
3,512,simd128,128,4,0.268,17.63,4.186567164179104,26196445,10212180,2.5652157521704475,3736965,19381,0.5186294225394137,0.7398332101932151,4266550,39490,0.9255721836143957,1.507456450674891
3,512,simd256,256,8,0.129,36.58,8.697674418604652,23410263,9704384,2.4123388975539304,3296534,18651,0.565776054486318,0.7967018567881958,3652887,39333,1.0767647616802818,1.6801605347193238
3,1024,naive,32,1,4.461,4.23,1.0,168854562,44980505,3.753949894515413,23425168,25055,0.10695761072023048,0.14838213254789054,28772892,82806,0.2877917172872299,0.4903983583221163
3,1024,simd128,128,4,1.055,17.89,4.228436018957346,94916168,32967151,2.879113454480795,13196794,25249,0.1913267722448346,0.26601368904821354,14613788,86852,0.594315450586802,0.9150390479312229
3,1024,simd256,256,8,0.503,37.55,8.86878727634195,84172240,31294787,2.689656906755748,11496093,25516,0.22195366721546184,0.3031403227477373,12255296,90279,0.7366529539555797,1.0725507602031263
3,2048,naive,32,1,17.797,4.24,1.0,667594394,180675896,3.6949831647714646,92240366,46343,0.05024156127047458,0.06941789867696223,112697468,236680,0.2100135914322405,0.35452664391307037
3,2048,simd128,128,4,4.387,17.21,4.056758604969228,371709206,133920848,2.775588801528497,51314769,46462,0.09054313388802354,0.12499555902847345,56027582,255250,0.4555791824105491,0.6866927046192125
3,2048,simd256,256,8,2.278,33.15,7.812554872695347,328815978,125374635,2.6226674797497913,44514260,46241,0.10387907156043927,0.14062881092718676,46617763,266138,0.5708939744706326,0.8093828092502244
3,4096,naive,32,1,71.334,4.23,1.0,2670810108,703125643,3.7984820132637376,369000807,126255,0.03421537232573044,0.047272173945209585,450353825,1031066,0.2289457628121622,0.38604990931837524
3,4096,simd128,128,4,17.889,16.88,3.987590139191682,1488092174,508246135,2.9278966853333768,205448018,129385,0.06297700082947502,0.08694689902992528,223846712,1120751,0.5006778924677705,0.7531462227822993
3,4096,simd256,256,8,9.806,30.8,7.274525800530289,1315269089,484294381,2.7158462716089202,178047605,126858,0.07124948409162819,0.0964502253272372,185943254,1205096,0.6480988011536036,0.916235324070632
9,256,naive,32,1,2.459,4.32,1.0,45524603,13346405,3.4110011647331246,7128734,78046,1.0948086995531043,1.7143697002695442,12012156,28036,0.23339690227133247,0.6158428223964962
9,256,simd128,128,4,0.751,14.14,3.274300932090546,15776870,7108504,2.219436044489811,2646208,17573,0.6640823397102571,1.1138457754928577,4034061,28294,0.7013775944389536,1.7933848729183925
9,256,simd256,256,8,0.376,28.27,6.539893617021277,11688227,5597398,2.0881536385299024,1898756,17504,0.9218667380116243,1.4975752952094445,2701112,25582,0.9470914201262295,2.1886980805557594
9,512,naive,32,1,9.785,4.34,1.0,172226979,45596523,3.7771954453632355,26765026,281935,1.0533709177043205,1.6369967216344194,45588167,43412,0.09522646523603373,0.2520627154471542
9,512,simd128,128,4,2.985,14.23,3.278056951423786,53379119,20239512,2.637371839795347,8857816,21530,0.24306217243618516,0.40334123910887326,13714454,46338,0.33787710396637005,0.8680922590723162
9,512,simd256,256,8,1.504,28.24,6.505984042553192,37017020,14541218,2.545661580756165,5859485,19883,0.33933016297507373,0.537131297981307,8380296,37720,0.45010343310069245,1.0189907237265452
9,1024,naive,32,1,39.016,4.35,1.0,678876810,171878936,3.949738262284798,105285156,984051,0.9346531243207732,1.4495280815380922,179862616,92837,0.051615506359587254,0.1367508782631712
9,1024,simd128,128,4,11.934,14.23,3.2693145634322107,203664523,73496514,2.7710773193950398,33680843,28106,0.08344803008642034,0.1380014525161066,52414314,104783,0.1999129474440894,0.514488230235366
9,1024,simd256,256,8,6.015,28.24,6.486450540315877,138493986,50827369,2.7247915586580924,21730384,27032,0.12439724949177151,0.1951853707207185,31143061,87059,0.2795454178380218,0.628612133381734
9,2048,naive,32,1,151.971,4.47,1.0,2707342520,673265309,4.021211970688364,419623155,3256398,0.7760291492970639,1.2028023702002804,716970957,319048,0.04449943151602444,0.11784545089625378
9,2048,simd128,128,4,47.779,14.22,3.180707005169635,808319736,299790895,2.6962784710322842,133605638,49808,0.03727986389316894,0.06161918085345376,207570511,345792,0.16659013765206754,0.42779111358973426
9,2048,simd256,256,8,24.098,28.2,6.306373972943813,546294729,207942611,2.6271418175084857,85494068,49361,0.057736169484881694,0.09035598804029464,122206544,335145,0.2742447245705598,0.613487522776373
9,4096,naive,32,1,592.072,4.59,1.0,10832441335,2627201177,4.1231868460753205,1678979366,10007327,0.5960363303237879,0.9238293280819323,2868064603,1301105,0.045365261251055576,0.12011188980974066
9,4096,simd128,128,4,191.157,14.22,3.0973074488509442,3228332131,1194304724,2.7031058875724585,533295644,136242,0.025547180355367766,0.042201977513942474,828768511,1350476,0.16294972384634918,0.4183200318926541
9,4096,simd256,256,8,135.74,20.02,4.361809341387947,2186826104,835327634,2.61792620642549,342215134,136827,0.03998274372050419,0.06256876106871276,488761350,1370781,0.28046018777875953,0.6268358501358002
